Month,Merk,Type,Area,Sold,Exp Registration Number,Sales,Congs
Mar,Honda,Jazz,Tanjung Api-Api,12,31/03/24,1728000000,972000000
Mar,Nissan,Juke,Tanjung Api-Api,12,31/01/24,1728000000,996000000
Feb,Honda,Brio,Tanjung Api-Api,12,31/01/24,1692000000,984000000
Feb,Toyota,Innova,Veteran,12,28/02/24,1680000000,1020000000
Mar,Suzuki,Swift,Plaju,12,28/02/24,1644000000,1032000000
Apr,Mitsubishi,Xpander,Veteran,12,31/01/24,1608000000,996000000
Jan,Honda,CRV,Tanjung Api-Api,11,28/02/24,1606000000,924000000
Feb,Toyota,Innova,Plaju,11,28/02/24,1606000000,968000000
Feb,Toyota,Land Cruiser,Veteran,2,31/01/24,1595000000,957000000
Feb,Mitsubishi,Pajero,Tanjung Api-Api,12,31/03/24,1584000000,1020000000
Mar,Nissan,Juke,Veteran,11,31/01/24,1573000000,924000000
Jan,Honda,CRV,Plaju,11,28/02/24,1562000000,957000000
Mar,Suzuki,Ertiga,Tanjung Api-Api,11,31/03/24,1529000000,913000000
Apr,Suzuki,Swift,Tanjung Api-Api,11,28/02/24,1507000000,902000000
Jan,Honda,Brio,Veteran,10,31/01/24,1500000000,810000000
Feb,Suzuki,Ertiga,Veteran,10,31/03/24,1490000000,850000000
Jan,Toyota,Avanza,Veteran,12,31/03/24,1488000000,996000000
Feb,Toyota,Land Cruiser,Plaju,11,31/01/24,1485000000,968000000
Jan,Mitsubishi,Pajero,Tanjung Api-Api,10,31/03/24,1480000000,860000000
Jan,Toyota,Innova,Veteran,12,28/02/24,1464000000,1008000000
Jan,Mitsubishi,Pajero,Plaju,10,31/03/24,1460000000,880000000
Apr,Suzuki,Swift,Tanjung Api-Api,11,28/02/24,1441000000,946000000
Apr,Suzuki,Swift,Plaju,11,28/02/24,1441000000,880000000
Mar,Nissan,March,Tanjung Api-Api,10,28/02/24,1440000000,890000000
Jan,Mitsubishi,Pajero,Veteran,10,31/03/24,1420000000,900000000
Apr,Honda,Jazz,Tanjung Api-Api,10,31/03/24,1410000000,820000000
Apr,Honda,CRV,Tanjung Api-Api,10,28/02/24,1410000000,830000000
Mar,Suzuki,Ertiga,Plaju,11,31/03/24,1408000000,957000000
Mar,Nissan,Juke,Tanjung Api-Api,12,31/01/24,1404000000,1020000000
Jan,Toyota,Innova,Plaju,11,28/02/24,1386000000,935000000
Feb,Honda,Brio,Plaju,11,31/01/24,1386000000,902000000
Mar,Toyota,Land Cruiser,Tanjung Api-Api,11,31/01/24,1375000000,957000000
Jan,Mitsubishi,Pajero,Tanjung Api-Api,11,31/03/24,1375000000,880000000
Apr,Toyota,Avanza,Veteran,11,31/03/24,1342000000,979000000
Feb,Nissan,March,Plaju,10,28/02/24,1330000000,810000000
Jan,Toyota,Avanza,Plaju,9,31/03/24,1323000000,747000000
Apr,Nissan,Juke,Plaju,12,31/01/24,1320000000,1032000000
Feb,Nissan,March,Veteran,9,28/02/24,1314000000,810000000
Jan,Mitsubishi,Xpander,Veteran,11,31/01/24,1287000000,968000000
Jan,Toyota,Innova,Tanjung Api-Api,12,28/02/24,1284000000,1056000000
Jan,Honda,CRV,Veteran,10,28/02/24,1270000000,850000000
Mar,Toyota,Land Cruiser,Plaju,10,31/01/24,1260000000,870000000
Mar,Toyota,Land Cruiser,Veteran,3,31/01/24,1254000000,957000000
Feb,Toyota,Innova,Plaju,12,28/02/24,1248000000,1056000000
Feb,Nissan,March,Tanjung Api-Api,9,28/02/24,1233000000,756000000
Feb,Toyota,Land Cruiser,Tanjung Api-Api,9,31/01/24,1233000000,774000000
Feb,Suzuki,Ertiga,Tanjung Api-Api,10,31/03/24,1220000000,810000000
Apr,Mitsubishi,Xpander,Plaju,9,31/01/24,1161000000,783000000
Feb,Suzuki,Ertiga,Plaju,8,31/03/24,1112000000,712000000
Jan,Mitsubishi,Xpander,Plaju,10,31/01/24,1100000000,820000000
